,polarity,subjectivity,filtered_polarity,filtered_subjectivity,Open,High,Low,Close,Volume,Market Cap
2019-09-16,0.013506493506493503,0.13037878787878787,0,0,10347.222257899999,10386.8668661,10189.7445857,10276.7935649,15160167778.756,184366827555.185
2019-09-17,0.06819393939393939,0.16895757575757578,0,0,10281.5133161,10296.771717200001,10199.7397431,10241.2721545,15304603363.0642,183748515827.697
2019-09-18,0.06694444444444446,0.21722222222222226,0,1,10247.7960832,10275.9290823,10191.4695236,10198.2484072,16169268880.2039,182998899156.058
2019-09-19,-0.013343253968253971,0.1920634920634921,0,0,10200.4958846,10295.6689895,9851.69215634,10266.414969399999,19937691247.0366,184240949577.458
2019-09-20,0.04199380165289256,0.11175964187327823,0,0,10266.3185338,10285.872264799998,10132.1861639,10181.6413094,14734189639.282,182738947695.643
2019-09-21,0.055113636363636365,0.29690656565656565,0,1,10183.6480972,10188.0979122,10000.708048299999,10019.716910100002,13425266806.3321,179853287294.13
2019-09-22,-0.0339781746031746,0.14662698412698413,0,0,10024.115262899999,10074.4444155,9922.53339543,10070.392106399999,13199651698.4687,180784051698.601
2019-09-23,0.014921436588103255,0.270115039281706,0,1,10067.9626513,10074.238245999999,9727.14357367,9729.32376435,15144925408.1142,174674558022.766
2019-09-24,0.014704335016835013,0.2793771043771044,0,1,9729.32139737,9804.31716645,8370.80138242,8620.56642733,25002886688.9271,154785821876.078
2019-09-25,0.10576388888888891,0.2048611111111111,0,1,8603.42867242,8744.82844926,8325.39633159,8486.99297206,21744728352.6112,152404005090.737
2019-09-26,-0.019393939393939394,0.3215263748597082,0,1,8487.66958635,8515.68528527,7895.6296228,8118.96756783,19258205289.3518,145812492487.865
2019-09-27,0.03660714285714285,0.1842592592592593,0,0,8113.10095,8271.52075751,7965.92265351,8251.84555744,16408941155.5063,148212635834.013
2019-09-28,-0.013103254769921439,0.20765993265993268,0,1,8251.27362342,8285.6167637,8125.43166316,8245.91515478,14141152736.1915,148122503615.689
2019-09-29,-0.0072014260249554304,0.18821746880570409,0,0,8246.03737695,8261.70737338,7990.49716007,8104.18567564,13034629108.5014,145590374680.607
2019-09-30,0.04468118686868686,0.13429608585858585,0,0,8104.22636732,8314.23099666,7830.75876126,8293.86774062,17115474183.4674,149011567415.156
2019-10-01,0.005769230769230762,0.3766483516483516,0,1,4034.41144545,4064.06655088,3659.17453883,3678.92468128,6874143795.71863,64288932886.0169
2019-10-02,0.26011904761904764,0.4666666666666667,1,1,3673.20153682,3695.03601276,3640.97995463,3690.18824383,6282256902.9225,64694025950.728
2019-10-03,0.2606060606060606,0.3875,1,1,3966.1742331999994,3966.1742331999994,3924.38105934,3951.59982769,9713267606.58481,69475297369.7211
2019-10-04,0.04791666666666666,0.1729166666666667,0,0,5204.10530845,5421.65146794,5193.38250879,5324.5518687,15504590933.2653,93918439274.0321
2019-10-05,0.061851851851851845,0.17925925925925928,0,0,6175.82273778,6434.61766164,6161.51907243,6378.8489737,19419875367.6122,112863284035.003
2019-10-06,0.0521875,0.165,0,0,7692.28467885,8031.90989621,7586.73084679,8000.32982299,18689275117.4736,142023351079.395
2019-10-07,0.05492063492063492,0.2032936507936508,0,1,12571.5371616,13129.528933900001,11710.978414700001,12156.5126313,33627574244.0567,216515999522.295
2019-10-08,-0.06250000000000001,0.2708333333333333,0,1,11861.556695399999,11915.655260299998,11323.8987573,11354.0242177,18125355447.0493,202890020454.66397
2019-10-09,0.04831649831649831,0.29851641414141417,0,1,10336.4084054,10394.353922700002,10020.5734003,10115.9757913,14906809639.1074,181360731382.795
2019-10-10,0.07241301907968574,0.2012121212121212,0,1,8585.2798473,8625.27283353,8471.93362208,8586.47342543,17618660671.4154,154430515160.222
2019-10-11,0.0858974358974359,0.1576923076923077,0,0,8812.48953287,9103.82584426,8806.16233361,9055.52605732,20587919881.0251,163364406731.87
